Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
12;Hordaland;;;;;KYST;Kystpartiet;0,03508;382305;65;38;103;-0,11515;0,03508;0;0;
12;Hordaland;;;;;LIBS;Liberalistene;0,17301;382305;280;228;508;-0,02856;-0,03626;0;0;
12;Hordaland;;;;;NKP;Norges Kommunistiske Parti;0,02827;382305;54;29;83;0,02827;-0,05156;0;0;
12;Hordaland;;;;;PIR;Piratpartiet;0,08548;382305;138;113;251;-0,07536;-0,11177;0;0;
12;Hordaland;;;;;PP;Pensjonistpartiet;0,76559;382305;1693;555;2248;0,76559;-0,50009;0;0;
12;Hordaland;;;;;PS;Partiet Sentrum;0,18901;382305;333;222;555;0,18901;0,18901;0;0;
12;Hordaland;;;;;BLANKE;Blanke;0,69203;382305;1033;999;2032;-0,00471;-0,73409;0;0;
12;Hordaland;;;;;GT;Generasjonspartiet;0,02997;382305;51;37;88;0,02997;0,02997;0;0;
14;Sogn og Fjordane;;;;;A;Arbeiderpartiet;26,49976;78282;8702;7006;15708;1,86353;3,99511;1;0;
14;Sogn og Fjordane;;;;;SV;SV - Sosialistisk Venstreparti;5,58573;78282;2076;1235;3311;1,07342;0,6787;0;0;
14;Sogn og Fjordane;;;;;RØDT;Rødt;3,97463;78282;1485;871;2356;2,69123;1,18365;0;0;
14;Sogn og Fjordane;;;;;SP;Senterpartiet;28,73676;78282;8816;8218;17034;-0,69626;-4,90901;1;0;
14;Sogn og Fjordane;;;;;KRF;Kristelig Folkeparti;3,8869;78282;1294;1010;2304;-0,48317;-1,41178;0;0;
14;Sogn og Fjordane;;;;;MDG;Miljøpartiet De Grønne;2,32134;78282;912;464;1376;0,04394;-1,72824;0;0;
14;Sogn og Fjordane;;;;;V;Venstre;3,27451;78282;1069;872;1941;-0,78493;-3,25996;1;1;
14;Sogn og Fjordane;;;;;H;Høyre;13,87745;78282;4602;3624;8226;-4,79632;0,72486;1;0;
14;Sogn og Fjordane;;;;;FRP;Fremskrittspartiet;9,42034;78282;2804;2780;5584;-0,51492;5,07797;0;0;
14;Sogn og Fjordane;;;;;AAN;Alliansen - Alternativ for Norge;0,07254;78282;24;19;43;0,07254;0,07254;0;0;
14;Sogn og Fjordane;;;;;DEMN;Demokratene;0,74398;78282;266;175;441;0,67531;0,63751;0;0;
14;Sogn og Fjordane;;;;;HELSE;Helsepartiet;0,14508;78282;52;34;86;-0,03148;-0,06405;0;0;
14;Sogn og Fjordane;;;;;INP;Industri- og Næringspartiet;0,46224;78282;165;109;274;0,46224;0,46224;0;0;
14;Sogn og Fjordane;;;;;KRISTNE;Partiet De Kristne;0,40826;78282;150;92;242;-0,007;-0,36363;0;0;
14;Sogn og Fjordane;;;;;LIBS;Liberalistene;0,0776;78282;21;25;46;-0,01395;-0,03077;0;0;
14;Sogn og Fjordane;;;;;PP;Pensjonistpartiet;0,28679;78282;112;58;170;0,28679;-0,12957;0;0;
14;Sogn og Fjordane;;;;;PS;Partiet Sentrum;0,22606;78282;76;58;134;0,22606;0,22606;0;0;
14;Sogn og Fjordane;;;;;BLANKE;Blanke;0,48249;78282;139;147;286;-0,02433;-1,05559;0;0;
15;Møre og Romsdal;;;;;A;Arbeiderpartiet;20,158;192394;17374;11587;28961;-1,03824;2,05037;2;0;
15;Møre og Romsdal;;;;;SV;SV - Sosialistisk Venstreparti;6,06111;192394;5449;3259;8708;2,14089;0,90165;1;1;
15;Møre og Romsdal;;;;;RØDT;Rødt;3,29227;192394;3204;1526;4730;2,06831;1,55253;0;0;
15;Møre og Romsdal;;;;;SP;Senterpartiet;17,61815;192394;13984;11328;25312;4,80985;-0,25131;2;0;
15;Møre og Romsdal;;;;;KRF;Kristelig Folkeparti;5,36368;192394;4487;3219;7706;-0,79383;-0,2209;0;0;
15;Møre og Romsdal;;;;;MDG;Miljøpartiet De Grønne;2,34844;192394;2399;975;3374;0,19897;-2,33042;0;0;
15;Møre og Romsdal;;;;;V;Venstre;2,82244;192394;2352;1703;4055;-0,69437;-0,22253;0;0;
15;Møre og Romsdal;;;;;H;Høyre;16,31934;192394;14105;9341;23446;-7,40645;1,27205;1;0;
15;Møre og Romsdal;;;;;FRP;Fremskrittspartiet;22,32756;192394;17928;14150;32078;-0,05353;5,19906;2;0;
15;Møre og Romsdal;;;;;AAN;Alliansen - Alternativ for Norge;0,08492;192394;64;58;122;0,08492;0,08492;0;0;
15;Møre og Romsdal;;;;;DEMN;Demokratene;1,18814;192394;1147;560;1707;1,10032;1,03278;0;0;
15;Møre og Romsdal;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,05429;192394;42;36;78;0,05429;0,05429;0;0;
15;Møre og Romsdal;;;;;HELSE;Helsepartiet;0,18863;192394;164;107;271;0,18725;-0,26893;0;0;
15;Møre og Romsdal;;;;;INP;Industri- og Næringspartiet;0,73989;192394;711;352;1063;0,73989;0,73989;0;0;
15;Møre og Romsdal;;;;;KRISTNE;Partiet De Kristne;0,56101;192394;471;335;806;0,05194;-0,59569;0;0;
15;Møre og Romsdal;;;;;LIBS;Liberalistene;0,11276;192394;88;74;162;-0,00593;-0,07334;0;0;
15;Møre og Romsdal;;;;;PP;Pensjonistpartiet;0,54569;192394;607;177;784;0,00507;-0,89271;0;0;
15;Møre og Romsdal;;;;;PS;Partiet Sentrum;0,21368;192394;186;121;307;0,21368;0,21368;0;0;
15;Møre og Romsdal;;;;;BLANKE;Blanke;0,59442;192394;412;442;854;0,02978;-0,95496;0;0;
16;Sør-Trøndelag;;;;;A;Arbeiderpartiet;29,96755;247553;33930;22038;55968;-2,76063;1,22023;3;0;
16;Sør-Trøndelag;;;;;SV;SV - Sosialistisk Venstreparti;9,01415;247553;11588;5247;16835;1,35977;0,85986;1;0;
16;Sør-Trøndelag;;;;;RØDT;Rødt;5,57073;247553;6987;3417;10404;2,65806;0,56856;1;1;
16;Sør-Trøndelag;;;;;SP;Senterpartiet;15,12781;247553;14060;14193;28253;4,15299;-0,95875;2;0;
16;Sør-Trøndelag;;;;;KRF;Kristelig Folkeparti;2,23707;247553;2529;1649;4178;-0,50215;-0,18267;0;0;
16;Sør-Trøndelag;;;;;MDG;Miljøpartiet De Grønne;4,69314;247553;6492;2273;8765;0,81484;-3,39671;0;0;
16;Sør-Trøndelag;;;;;V;Venstre;4,27014;247553;4798;3177;7975;0,23199;0,81436;0;0;
16;Sør-Trøndelag;;;;;H;Høyre;16,51407;247553;18744;12098;30842;-4,15677;-0,62511;2;0;
16;Sør-Trøndelag;;;;;FRP;Fremskrittspartiet;8,6554;247553;8699;7466;16165;-2,99471;3,27301;1;0;
16;Sør-Trøndelag;;;;;AAN;Alliansen - Alternativ for Norge;0,11137;247553;138;70;208;0,11137;0,11137;0;0;
16;Sør-Trøndelag;;;;;DEMN;Demokratene;0,89472;247553;1033;638;1671;0,8012;0,63252;0;0;
16;Sør-Trøndelag;;;;;HELSE;Helsepartiet;0,17081;247553;192;127;319;-0,0494;-0,32616;0;0;
16;Sør-Trøndelag;;;;;INP;Industri- og Næringspartiet;0,34536;247553;394;251;645;0,34536;0,34536;0;0;
16;Sør-Trøndelag;;;;;KRISTNE;Partiet De Kristne;0,15849;247553;169;127;296;0,03507;-0,12986;0;0;
16;Sør-Trøndelag;;;;;LIBS;Liberalistene;0,12636;247553;139;97;236;-0,0759;-0,11797;0;0;
16;Sør-Trøndelag;;;;;NKP;Norges Kommunistiske Parti;0,03266;247553;33;28;61;0,03266;0,03266;0;0;
16;Sør-Trøndelag;;;;;PIR;Piratpartiet;0,10602;247553;98;100;198;-0,09026;-0,1632;0;0;
16;Sør-Trøndelag;;;;;PP;Pensjonistpartiet;1,77499;247553;2506;809;3315;0,08731;-2,18669;0;0;
16;Sør-Trøndelag;;;;;PS;Partiet Sentrum;0,22917;247553;250;178;428;0,22917;0,22917;0;0;
16;Sør-Trøndelag;;;;;BLANKE;Blanke;0,60344;247553;607;520;1127;-0,03814;-0,83003;0;0;
17;Nord-Trøndelag;;;;;A;Arbeiderpartiet;33,72301;100638;14635;10404;25039;-0,38501;0,97814;2;0;
17;Nord-Trøndelag;;;;;SV;SV - Sosialistisk Venstreparti;5,46405;100638;2548;1509;4057;0,4606;0,30346;0;0;
17;Nord-Trøndelag;;;;;RØDT;Rødt;3,895;100638;1824;1068;2892;2,22572;0,79323;1;1;
17;Nord-Trøndelag;;;;;SP;Senterpartiet;29,0684;100638;10370;11213;21583;4,24348;-5,38922;2;0;
17;Nord-Trøndelag;;;;;KRF;Kristelig Folkeparti;2,26131;100638;1010;669;1679;-0,17728;-0,29825;0;0;
17;Nord-Trøndelag;;;;;MDG;Miljøpartiet De Grønne;1,74278;100638;917;377;1294;-0,06451;-1,6907;0;0;
17;Nord-Trøndelag;;;;;V;Venstre;1,95693;100638;806;647;1453;-0,26438;0,00177;0;0;
17;Nord-Trøndelag;;;;;H;Høyre;10,62775;100638;4566;3325;7891;-4,03024;1,41811;0;0;
17;Nord-Trøndelag;;;;;FRP;Fremskrittspartiet;8,07014;100638;3084;2908;5992;-3,45189;3,2588;0;0;
17;Nord-Trøndelag;;;;;AAN;Alliansen - Alternativ for Norge;0,09966;100638;42;32;74;0,09966;0,09966;0;0;
17;Nord-Trøndelag;;;;;DEMN;Demokratene;0,99126;100638;463;273;736;0,86353;0,72813;0;0;
17;Nord-Trøndelag;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,03098;100638;14;9;23;0,03098;0,03098;0;0;
17;Nord-Trøndelag;;;;;HELSE;Helsepartiet;0,18721;100638;71;68;139;-0,1857;-0,10463;0;0;
17;Nord-Trøndelag;;;;;INP;Industri- og Næringspartiet;0,47139;100638;203;147;350;0,47139;0,47139;0;0;
17;Nord-Trøndelag;;;;;KRISTNE;Partiet De Kristne;0,23031;100638;112;59;171;0,02183;-0,08545;0;0;
17;Nord-Trøndelag;;;;;LIBS;Liberalistene;0,07946;100638;29;30;59;-0,02624;-0,08958;0;0;
17;Nord-Trøndelag;;;;;PIR;Piratpartiet;0,06869;100638;24;27;51;-0,07372;-0,11152;0;0;
17;Nord-Trøndelag;;;;;PP;Pensjonistpartiet;0,86062;100638;455;184;639;0,27336;-0,48535;0;0;
17;Nord-Trøndelag;;;;;PS;Partiet Sentrum;0,17105;100638;82;45;127;0,17105;0,17105;0;0;
17;Nord-Trøndelag;;;;;BLANKE;Blanke;0,48216;100638;182;176;358;-0,0728;-0,91164;0;0;
18;Nordland;;;;;A;Arbeiderpartiet;28,97934;182075;20985;16556;37541;3,00959;2,24662;3;0;
18;Nordland;;;;;SV;SV - Sosialistisk Venstreparti;6,92815;182075;5214;3761;8975;-0,10015;0,69649;1;1;
18;Nordland;;;;;RØDT;Rødt;5,36652;182075;4248;2704;6952;2,46344;-0,14516;0;0;
18;Nordland;;;;;SP;Senterpartiet;21,33561;182075;13762;13877;27639;2,57452;-3,9713;2;0;
18;Nordland;;;;;KRF;Kristelig Folkeparti;1,95841;182075;1301;1236;2537;-0,45745;-0,55822;0;0;
18;Nordland;;;;;MDG;Miljøpartiet De Grønne;2,19771;182075;1771;1076;2847;0,01835;-1,9561;0;0;
18;Nordland;;;;;V;Venstre;2,35827;182075;1641;1414;3055;-0,24768;-0,25744;0;0;
18;Nordland;;;;;H;Høyre;15,40017;182075;10985;8965;19950;-4,7043;-0,42809;2;0;
18;Nordland;;;;;FRP;Fremskrittspartiet;12,29158;182075;7872;8051;15923;-4,12774;2,66572;1;0;
18;Nordland;;;;;AAN;Alliansen - Alternativ for Norge;0,07565;182075;54;44;98;0,07565;0,07565;0;0;
18;Nordland;;;;;DEMN;Demokratene;1,36247;182075;1024;741;1765;1,22551;1,36247;0;0;
18;Nordland;;;;;HELSE;Helsepartiet;0,25706;182075;161;172;333;-0,20022;0,25706;0;0;
18;Nordland;;;;;INP;Industri- og Næringspartiet;0,43074;182075;309;249;558;0,43074;0,43074;0;0;
18;Nordland;;;;;KRISTNE;Partiet De Kristne;0,23699;182075;187;120;307;0,02593;-0,19425;0;0;
18;Nordland;;;;;LIBS;Liberalistene;0,13046;182075;74;95;169;-0,06937;-0,113;0;0;
18;Nordland;;;;;NKP;Norges Kommunistiske Parti;0,02933;182075;17;21;38;-0,01407;-0,06408;0;0;
18;Nordland;;;;;PIR;Piratpartiet;0,09418;182075;54;68;122;-0,06149;0,09418;0;0;
18;Nordland;;;;;PP;Pensjonistpartiet;0,41222;182075;321;213;534;0,41222;-0,29644;0;0;
18;Nordland;;;;;PS;Partiet Sentrum;0,15516;182075;116;85;201;0,15516;0,15516;0;0;
18;Nordland;;;;;BLANKE;Blanke;0,63222;182075;336;483;819;-0,09523;-1,44752;0;0;
19;Troms Romsa;;;;;A;Arbeiderpartiet;27,19774;124771;12084;12283;24367;3,17007;4,21716;2;0;
19;Troms Romsa;;;;;SV;SV - Sosialistisk Venstreparti;10,63153;124771;5447;4078;9525;0,51514;1,04902;1;1;
19;Troms Romsa;;;;;RØDT;Rødt;4,74373;124771;2368;1882;4250;2,45867;0,50142;0;0;
19;Troms Romsa;;;;;SP;Senterpartiet;19,1535;124771;7623;9537;17160;4,17601;-4,98179;1;0;
19;Troms Romsa;;;;;KRF;Kristelig Folkeparti;2,22453;124771;845;1148;1993;-0,41959;-1,10616;0;0;
19;Troms Romsa;;;;;MDG;Miljøpartiet De Grønne;2,87749;124771;1585;993;2578;0,03572;-2,54991;0;0;
19;Troms Romsa;;;;;V;Venstre;2,38526;124771;1067;1070;2137;-0,55095;-0,014;0;0;
19;Troms Romsa;;;;;H;Høyre;13,70435;124771;6527;5751;12278;-6,83919;-1,23554;1;0;
19;Troms Romsa;;;;;FRP;Fremskrittspartiet;14,11398;124771;5625;7020;12645;-4,11815;3,25918;1;0;
19;Troms Romsa;;;;;AAN;Alliansen - Alternativ for Norge;0,07925;124771;38;33;71;0,07925;0,07925;0;0;
19;Troms Romsa;;;;;DEMN;Demokratene;1,48897;124771;752;582;1334;1,3583;1,48897;0;0;
19;Troms Romsa;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,13952;124771;42;83;125;0,13952;0,13952;0;0;
19;Troms Romsa;;;;;HELSE;Helsepartiet;0,24333;124771;100;118;218;-0,07401;0,24333;0;0;
19;Troms Romsa;;;;;INP;Industri- og Næringspartiet;0,33708;124771;152;150;302;0,33708;0,33708;0;0;
19;Troms Romsa;;;;;KRISTNE;Partiet De Kristne;0,20203;124771;100;81;181;0,02634;-0,15998;0;0;
19;Troms Romsa;;;;;LIBS;Liberalistene;0,20314;124771;80;102;182;-0,12627;-0,30155;0;0;
19;Troms Romsa;;;;;PIR;Piratpartiet;0,08929;124771;31;49;80;0,08929;0,08929;0;0;
19;Troms Romsa;;;;;PS;Partiet Sentrum;0,18528;124771;73;93;166;0,18528;0,18528;0;0;
19;Troms Romsa;;;;;BLANKE;Blanke;0,84383;124771;294;462;756;0,05322;-1,66906;0;0;
20;Finnmark Finnmárku;;;;;A;Arbeiderpartiet;31,61214;54608;6854;4974;11828;-0,22576;2,2029;2;0;
20;Finnmark Finnmárku;;;;;SV;SV - Sosialistisk Venstreparti;5,88251;54608;1328;873;2201;-3,04428;-7,67946;0;0;
20;Finnmark Finnmárku;;;;;RØDT;Rødt;4,86957;54608;1160;662;1822;3,30678;1,58386;0;0;
20;Finnmark Finnmárku;;;;;SP;Senterpartiet;18,32104;54608;3731;3124;6855;3,51221;-5,79252;1;0;
20;Finnmark Finnmárku;;;;;KRF;Kristelig Folkeparti;1,64635;54608;345;271;616;-0,45803;-0,44928;0;0;
20;Finnmark Finnmárku;;;;;MDG;Miljøpartiet De Grønne;2,18623;54608;591;227;818;0,00371;-1,2555;0;0;
20;Finnmark Finnmárku;;;;;V;Venstre;1,36038;54608;294;215;509;-3,01544;-1,54291;0;0;
20;Finnmark Finnmárku;;;;;H;Høyre;6,76181;54608;1510;1020;2530;-7,34915;-2,71596;0;0;
20;Finnmark Finnmárku;;;;;FRP;Fremskrittspartiet;10,93383;54608;2160;1931;4091;-7,21884;2,94594;1;1;
20;Finnmark Finnmárku;;;;;AAN;Alliansen - Alternativ for Norge;0,12829;54608;29;19;48;0,12829;0,12829;0;0;
20;Finnmark Finnmárku;;;;;DEMN;Demokratene;1,72921;54608;392;255;647;1,54329;1,72921;0;0;
20;Finnmark Finnmárku;;;;;HELSE;Helsepartiet;0,28865;54608;69;39;108;-0,06433;0,28865;0;0;
20;Finnmark Finnmárku;;;;;INP;Industri- og Næringspartiet;0,46771;54608;115;60;175;0,46771;0,46771;0;0;
20;Finnmark Finnmárku;;;;;KRISTNE;Partiet De Kristne;0,35546;54608;66;67;133;0,00249;-0,0759;0;0;
20;Finnmark Finnmárku;;;;;LIBS;Liberalistene;0,17372;54608;41;24;65;-0,03645;-0,16892;0;0;
20;Finnmark Finnmárku;;;;;PS;Partiet Sentrum;0,1657;54608;37;25;62;0,1657;0,1657;0;0;
20;Finnmark Finnmárku;;;;;BLANKE;Blanke;0,7724;54608;146;143;289;-0,18953;-2,82536;0;0;
20;Finnmark Finnmárku;;;;;PF;Pasientfokus;13,11738;54608;3506;1402;4908;13,11738;13,11738;1;0;
